storeid,type,price
1,草莓,64
1,猪肋排,52.5
1,带鱼,27.68
1,鸡爪,129.9
1,鸭掌,39.16
1,冷鲜肉,56
1,香菜,52.67
1,萝卜,26.235
1,土豆,4.4
1,芦笋,54.9
1,西红柿,17.28
1,鸡柳,34.26
1,鸡胸肉,29.8
1,羊肉片,178
2,草莓,57.6
2,水蜜桃,39.6
2,车厘子,80
2,鸡翅,53.91
2,猪肋排,47.25
2,鳕鱼,385
2,带鱼,30.448
2,巴沙鱼,27.72
2,皮皮虾,76.797
2,鸭掌,39.16
2,西兰花,29.403
2,白菜,11.025
2,香菜,47.403
2,土豆,4.4
2,西红柿,17.28
2,松花蛋,35.83
2,鸡胸肉,29.8
2,羊肉片,195.8
3,草莓,64
3,车厘子,72
3,鸡翅,65.89
3,猪肋排,52.5
3,鳕鱼,315
3,带鱼,24.912
3,牛里脊,139.5
3,鸭掌,35.6
3,西兰花,32.67
3,菠菜,15.543
3,白菜,12.25
3,土豆,4.4
3,西红柿,19.2
4,草莓,70.4
4,水蜜桃,44
4,鳕鱼,350
4,带鱼,27.68
4,巴沙鱼,33.88
4,皮皮虾,93.863
4,牛里脊,170.5
4,鸡爪,116.91
4,冷鲜肉,56
4,西兰花,29.403
4,土豆,3.96
4,芦笋,54.9
4,鸡柳,34.26
4,汤圆,32.9
5,草莓,57.6
5,车厘子,80
5,牛排,71.397
5,带鱼,27.68
5,牛里脊,139.5
5,鸡爪,129.9
5,鸭掌,39.16
5,西兰花,32.67
5,白菜,13.475
5,香菜,52.67
5,土豆,4.4
5,西红柿,19.2
5,苦瓜,15.52
5,松花蛋,35.83
5,鸡胸肉,29.8
6,牛排,87.263
6,皮皮虾,76.797
6,牛里脊,170.5
6,鸡爪,116.91
6,菠菜,17.27
6,萝卜,23.85
6,土豆,4.4
6,松花蛋,35.83
6,鸡胸肉,29.8
6,羊肉片,178
7,鸡翅,53.91
7,猪肋排,52.5
7,鳕鱼,350
7,牛里脊,170.5
7,鸡爪,129.9
7,鸭掌,35.6
7,西兰花,32.67
7,白菜,11.025
7,萝卜,23.85
7,土豆,4.84
7,芦笋,54.9
7,鸡柳,34.26
7,鸭舌,142.8
7,鸡胸肉,29.8
8,草莓,70.4
8,车厘子,72
8,鸡翅,59.9
8,猪肋排,57.75
8,鳕鱼,315
8,带鱼,27.68
8,巴沙鱼,27.72
8,牛里脊,170.5
8,鸡爪,129.9
8,鸭掌,35.6
8,冷鲜肉,56
8,白菜,13.475
8,香菜,47.403
8,萝卜,21.465
8,松花蛋,35.83
8,鸡柳,30.834
8,汤圆,32.9
8,鸡胸肉,29.8
9,水蜜桃,39.6
9,猪肋排,52.5
9,皮皮虾,85.33
9,牛里脊,155
9,鸡爪,129.9
9,鸭掌,35.6
9,西兰花,32.67
9,西红柿,19.2
9,鸭舌,142.8
9,鸡胸肉,29.8
9,羊肉片,178
10,草莓,64
10,水蜜桃,44
10,带鱼,30.448
10,牛里脊,155
10,鸭掌,35.6
10,冷鲜肉,50.4
10,西兰花,29.403
10,香菜,52.67
10,萝卜,23.85
10,芦笋,54.9
10,鸡柳,34.26
10,汤圆,32.9
10,鸡胸肉,29.8
11,牛排,87.263
11,鳕鱼,385
11,鸭掌,35.6
11,白菜,12.25
11,香菜,52.67
11,芦笋,49.41
11,西红柿,21.12
11,松花蛋,32.247
11,鸡柳,37.686
11,汤圆,32.9
11,鸭舌,142.8
12,水蜜桃,48.4
12,车厘子,88
12,带鱼,24.912
12,巴沙鱼,27.72
12,牛里脊,155
12,鸡爪,129.9
12,西兰花,32.67
12,白菜,11.025
12,萝卜,23.85
12,土豆,4.4
12,苦瓜,13.968
12,汤圆,29.61
12,鸡胸肉,29.8
13,草莓,70.4
13,水蜜桃,39.6
13,车厘子,72
13,猪肋排,57.75
13,牛排,71.397
13,鳕鱼,350
13,皮皮虾,93.863
13,鸡爪,116.91
13,鸭掌,35.6
13,冷鲜肉,56
13,白菜,13.475
13,萝卜,21.465
13,芦笋,54.9
13,松花蛋,39.413
13,汤圆,32.9
13,鸭舌,142.8
14,鸡翅,59.9
